Date,Open,High,Low,Close,Adj Close,Volume
2011-01-13,63.366707,63.507252,62.812832,76.709999,63.416321,20438100
2011-01-14,63.383259,64.482758,63.242718,77.839996,64.350487,23478700
2011-01-18,64.309151,65.185471,64.251282,78.709999,65.069725,23883600
2011-01-19,65.003563,65.251595,64.590240,78.239998,64.681168,21844100
2011-01-20,64.466232,64.615036,63.465908,77.750000,64.276085,29121600
2011-01-21,64.656387,65.392136,64.532372,78.980003,65.292923,25084400
2011-01-24,65.185471,65.458267,64.557159,78.589996,64.970512,24871600
2011-01-25,64.664650,65.301216,64.424911,78.680000,65.044930,21626300
2011-01-26,65.069725,66.020439,64.887840,79.660004,65.855095,25555400
2011-01-27,66.003914,66.119637,65.590538,79.879997,66.036957,17003500
2011-01-28,65.954292,66.045227,65.201996,78.989998,65.301216,26300600
2011-01-31,66.070023,66.814056,65.317741,80.680000,66.698326,34514400
2011-02-01,67.078598,69.409912,66.995926,83.910004,69.368584,40829600
2011-02-02,69.104034,69.426445,68.831215,83.410004,68.955238,18176900
2011-02-03,68.665871,69.070961,68.169861,83.440002,68.980026,19647700
2011-02-04,68.822968,69.046165,68.492264,83.279999,68.847733,16558300
2011-02-07,68.988289,69.442978,68.913879,83.930000,69.385101,15304300
2011-02-08,69.393417,69.518074,68.678711,82.980003,68.961281,17463500
2011-02-09,68.512489,68.795036,67.955688,82.550003,68.603912,15890900
2011-02-10,67.880898,69.235527,67.822723,83.199997,69.144104,21050500
2011-02-11,68.337967,69.318604,68.337967,82.820000,68.828300,15993500
2011-02-14,68.204987,70.731438,68.055428,84.910004,70.565201,33108300
2011-02-15,70.465485,70.548569,68.703644,82.970001,68.952965,25684600
2011-02-16,69.027725,69.692604,68.861542,83.690002,69.551323,16673500
2011-02-17,69.784012,69.784012,69.019440,83.879997,69.709236,17853500
2011-02-18,69.734169,70.224480,69.393417,84.500000,70.224480,22839500
2011-02-22,70.615067,72.052803,70.415634,85.440002,71.005692,32580400
2011-02-23,71.471069,73.324318,71.030617,87.070000,72.360291,38624600
2011-02-24,72.468338,72.742569,71.022293,85.970001,71.446129,28577100
2011-02-25,71.296532,71.670502,70.881027,85.339996,70.922562,22230300
2011-02-28,71.363029,71.936424,71.047234,85.529999,71.080467,24507000
2011-03-01,71.811798,71.886597,70.390686,84.800003,70.473808,23001800
2011-03-02,70.299263,70.905952,69.434982,85.080002,70.706490,17423600
2011-03-03,71.022293,71.429535,70.681564,85.820000,71.321472,17153500
2011-03-04,71.404572,71.471069,70.390686,85.080002,70.706490,20028600
2011-03-07,71.338081,71.537552,70.382385,84.720001,70.407333,18062700
2011-03-08,70.307602,70.731438,69.601181,84.599998,70.307602,17658200
2011-03-09,69.908684,70.266037,69.443260,84.379997,70.124748,13306600
2011-03-10,69.642746,69.642746,67.481987,81.379997,67.631569,25996300
2011-03-11,67.332382,68.903099,66.567802,82.120003,68.246559,17607100
2011-03-14,67.872589,68.678711,67.698059,82.379997,68.462624,16383200
2011-03-15,66.625977,68.221626,66.276939,81.389999,67.639877,23191300
2011-03-16,67.506927,67.988922,65.487434,79.309998,65.911293,33396500
2011-03-17,66.800514,67.731308,66.675850,81.160004,67.448753,21941300
2011-03-18,67.955688,68.421082,67.191109,80.849998,67.191109,28895900
2011-03-21,68.038795,69.252151,68.030479,82.839996,68.844910,18207000
2011-03-22,69.060989,69.169029,68.421082,82.559998,68.612228,16209700
2011-03-23,68.687019,68.977890,68.146843,82.599998,68.645470,15390600
2011-03-24,68.795036,69.368477,68.603912,82.730003,68.753502,17009000
2011-03-25,68.969582,69.750755,68.828300,83.620003,69.493141,16497300
2011-03-28,69.692604,69.817253,69.351868,83.470001,69.368477,14608200
2011-03-29,69.110870,69.717522,68.653778,83.250000,69.185669,16277400
2011-03-30,69.642746,70.523659,69.401726,84.489998,70.216133,15770400
2011-03-31,70.490425,70.590149,69.900375,84.129997,69.916985,15317800
2011-04-01,70.407333,70.507019,69.950249,84.680000,70.374077,15531500
2011-04-04,70.025024,70.581833,69.867119,84.870003,70.531967,13096100
2011-04-05,70.374077,71.421188,70.274330,85.419998,70.989044,17122600
2011-04-06,71.246681,71.379662,70.606766,85.180000,70.789604,13339700
2011-04-07,70.772957,71.296532,70.565201,85.760002,71.271614,16006700
2011-04-08,71.471069,71.653893,70.939201,85.949997,71.429535,15943200
2011-04-11,71.429535,71.595734,70.457161,85.160004,70.772957,13026500
2011-04-12,70.008423,70.016693,68.703644,83.180000,69.127480,20728800
2011-04-13,69.459892,69.767387,68.612228,83.160004,69.110870,14489400
2011-04-14,68.462624,69.675995,68.462624,83.440002,69.343552,15717500
2011-04-15,69.642746,70.199547,69.277069,84.290001,70.049957,17022500
2011-04-18,69.069298,69.808945,68.512489,83.099998,69.060989,15107300
2011-04-19,68.952965,69.800644,68.952965,83.800003,69.642746,12770800
2011-04-20,70.681564,71.205147,70.531967,85.650002,71.180191,15447600
2011-04-21,71.279922,71.828423,71.105408,86.360001,71.770248,12797200
2011-04-25,71.712074,71.886597,71.379662,86.220001,71.653893,9852800
2011-04-26,71.828423,72.701027,71.687157,87.419998,72.651169,17908800
2011-04-27,72.701027,73.050087,71.712074,87.779999,72.950356,17755800
2011-04-28,72.327049,72.717659,71.911514,87.339996,72.584694,18705300
2011-04-29,72.659470,73.133179,72.327049,87.980003,73.116570,17352300
2011-05-02,73.216301,73.241219,71.861671,86.970001,72.277199,18651200
2011-05-03,71.961395,72.119286,70.673241,85.620003,71.155273,18417100
2011-05-04,70.797913,71.138649,69.734169,84.809998,70.482109,22867000
2011-05-05,69.410042,69.800644,67.806099,82.620003,68.662094,27491200
2011-05-06,69.202271,69.892059,68.022179,82.690002,68.720276,26314700
2011-05-09,68.986198,69.576263,68.279800,83.180000,69.127480,18254600
2011-05-10,69.044380,69.609497,68.562347,83.339996,69.260452,17695700
2011-05-11,68.959595,69.110023,67.229530,81.120003,67.797844,24192000
2011-05-12,67.379967,68.190674,66.377022,81.050003,67.739342,21853600
2011-05-13,67.939926,68.341103,67.045662,80.870003,67.588913,17628500
2011-05-16,67.045662,67.923195,66.962059,80.239998,67.062378,16435100
2011-05-17,66.853416,67.522041,66.527458,80.410004,67.204437,18067800
2011-05-18,67.597260,68.758987,67.221161,81.739998,68.316017,17957000
2011-05-19,68.758987,69.018089,67.981712,82.330002,68.809135,15229100
2011-05-20,68.516617,68.742279,67.613983,81.570000,68.173950,19003400
2011-05-23,67.045662,67.705917,66.920288,80.669998,67.421738,16288500
2011-05-24,67.739342,68.633636,67.647400,81.290001,67.939926,15687300
2011-05-25,67.672493,68.976295,67.563820,81.959999,68.499886,19347200
2011-05-26,68.199028,69.009712,67.856354,82.389999,68.859268,16873700
2011-05-27,69.151810,69.477760,68.658699,82.629997,69.059868,11949100
2011-05-31,69.603111,69.995918,69.135078,83.470001,69.761917,23630700
2011-06-01,69.828781,69.912354,68.332741,82.029999,68.558395,19550200
2011-06-02,68.341103,68.800797,67.405022,81.330002,67.973358,18152600
2011-06-03,67.062378,68.357819,67.012230,81.180000,67.848030,17281200
2011-06-06,67.639038,67.856354,66.928658,80.290001,67.104149,15954300
2011-06-07,67.371613,67.772781,66.836693,80.000000,66.861786,16188100
2011-06-08,67.371613,68.424683,67.296371,80.760002,67.496979,23567300
2011-06-09,67.898117,68.265869,67.664124,81.180000,67.848030,17665100
2011-06-10,67.655762,67.655762,66.627777,79.779999,66.677925,18965900
2011-06-13,66.861786,67.363243,65.892273,79.230003,66.218254,17854200
2011-06-14,66.903580,67.547112,66.811630,80.379997,67.179375,16443400
2011-06-15,66.468971,66.769844,65.499474,78.660004,65.741852,21713900
2011-06-16,65.683327,66.452271,65.466042,79.220001,66.209885,19037500
2011-06-17,66.736389,66.819984,65.766914,79.019997,66.042725,25441200
2011-06-20,65.733498,66.819984,65.708420,79.709999,66.619400,15836400
2011-06-21,67.054008,67.797844,66.870132,80.570000,67.338173,17897300
2011-06-22,66.995514,67.421738,66.502403,79.820000,66.711342,18599700
2011-06-23,65.808716,65.817047,64.546700,78.440002,65.557968,30032800
2011-06-24,65.649925,65.716789,64.170601,76.779999,64.170601,36292700
2011-06-27,64.254173,65.591415,64.120445,77.919998,65.123367,20606900
2011-06-28,65.666634,66.577629,65.507835,79.629997,66.552567,18421500
2011-06-29,66.736389,67.279671,66.209885,80.250000,67.070724,18899900
2011-06-30,67.187737,68.040215,67.087425,81.379997,68.015137,19942100
2011-07-01,67.856354,68.608536,67.354889,82.010002,68.541695,18050100
2011-07-05,67.948273,68.633636,67.914871,81.599998,68.199028,18859600
2011-07-06,68.031876,68.249168,67.572182,81.570000,68.173950,15042600
2011-07-07,68.758987,69.034790,68.424683,82.360001,68.834206,18379200
2011-07-08,68.182297,68.976295,68.082008,82.419998,68.884361,18336500
2011-07-11,67.948273,68.625275,67.797844,81.900002,68.449768,20717000
2011-07-12,68.123802,69.377457,68.115417,81.889999,68.441383,22639600
